latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
-14.45904,-48.79453,304.85,1.11,1.05,2022-06-29,0134,T,62,6.1NRT,290.67,7.75,N
-15.19533,-57.4475,326.97,4.68,1.98,2022-06-29,0134,T,100,6.1NRT,290.94,237.59,N
-15.17352,-57.40599,304.46,4.64,1.97,2022-06-29,0134,T,60,6.1NRT,290.13,56.87,N
-15.17746,-57.44923,370.19,4.68,1.98,2022-06-29,0134,T,100,6.1NRT,294.11,1087.59,N
-15.18141,-57.49271,311.45,4.71,1.99,2022-06-29,0134,T,83,6.1NRT,289.57,99.41,N
-15.19205,-57.40878,301.53,4.64,1.97,2022-06-29,0134,T,42,6.1NRT,289.99,45.23,N
-15.19634,-57.45208,318.58,4.68,1.98,2022-06-29,0134,T,97,6.1NRT,290.52,159.63,N
-15.17424,-57.41057,317.88,4.64,1.97,2022-06-29,0134,T,96,6.1NRT,290.74,149.25,N
-15.17847,-57.45383,366.89,4.68,1.98,2022-06-29,0134,T,100,6.1NRT,294.11,991.34,N
-14.25257,-50.98387,305.44,1.47,1.2,2022-06-29,0134,T,64,6.1NRT,290.03,13.24,N
-13.44718,-45.44687,302.85,1.06,1.03,2022-06-29,0134,T,52,6.1NRT,283.84,8.64,N
-14.13592,-50.52716,304.44,1.37,1.16,2022-06-29,0134,T,60,6.1NRT,290.59,10.87,N
-14.15807,-50.78556,312.5,1.42,1.18,2022-06-29,0134,T,85,6.1NRT,290.13,20.72,N
-14.27037,-51.68793,300.41,1.65,1.26,2022-06-29,0134,T,27,6.1NRT,289.02,10.43,N
-13.03682,-44.47524,306.57,1.18,1.08,2022-06-29,0134,T,69,6.1NRT,285.32,12.02,N
-13.03844,-44.48607,323.26,1.18,1.08,2022-06-29,0134,T,100,6.1NRT,287.02,29.52,N
-13.0577,-45.13206,307.71,1.1,1.05,2022-06-29,0134,T,72,6.1NRT,286.97,11.35,N
-13.55108,-49.40451,303.21,1.16,1.07,2022-06-29,0134,T,54,6.1NRT,290.46,7.3,N
-13.34384,-48.83115,300.46,1.09,1.04,2022-06-29,0134,T,28,6.1NRT,290.16,5.15,N
-13.18552,-47.93867,302.27,1.02,1.01,2022-06-29,0134,T,48,6.1NRT,289.73,5.95,N
-12.72703,-54.4855,301.6,2.56,1.54,2022-06-29,0134,T,43,6.1NRT,290.05,20.95,N
-11.91709,-48.46478,305.95,1.04,1.02,2022-06-29,0134,T,66,6.1NRT,290.85,7.87,N
